event_id	context	z_atac	z_rna	z_rna_given_atac	quality_score	atac_fdr	rna_fdr	atac_direction	rna_direction	atac_pval	rna_pval	rna_after_atac_pval
BCL11B:chr1:1060000_chr1:1307786-1308731_distal_250kb		2.979017211469808	-0.010390765509717919	-0.46768269960739023	0.8714449842953518	0.024925852220150254	0.9999455679334293	1	-1	0.008422987777361491	0.9918304842286767	0.6400115147634071
ATF7IP:chr1:1065000_chr1:1307786-1308731_distal_250kb		2.979017211469808	0.06704824818318356	-0.20393917202988654	0.8714449842953518	0.024925852220150254	0.9999455679334293	1	1	0.008422987777361491	0.9473255409436516	0.8384010334485191
QKI:chr1:1070000_chr1:1307786-1308731_distal_250kb		2.979017211469808	0.041930324451120826	0.3297966270212016	0.8714449842953518	0.024925852220150254	0.9999455679334293	1	1	0.008422987777361491	0.9670427820007732	0.741553636172302
FLNA:chr1:1075000_chr1:1307786-1308731_distal_250kb		2.979017211469808	0.22085949227436413	0.4048934263065537	0.8714449842953518	0.024925852220150254	0.9999455679334293	1	1	0.008422987777361491	0.8278326785932364	0.6855558506399455
PKN2:chr1:1080000_chr1:1307786-1308731_distal_250kb		2.979017211469808	-0.043684464731150494	0.10907884318542559	0.8714449842953518	0.024925852220150254	0.9999455679334293	1	-1	0.008422987777361491	0.9656649381324431	0.9131399554399753
CAP1:chr1:1085000_chr1:1307786-1308731_distal_250kb		2.979017211469808	-0.0677627344194831	0.08467902577534905	0.8714449842953518	0.024925852220150254	0.9999455679334293	1	-1	0.008422987777361491	0.946765130269686	0.9325165710720754
SEPTIN9:chr1:1090000_chr1:1307786-1308731_distal_250kb		2.979017211469808	-0.13687001388972486	-0.13647033308224646	0.8714449842953518	0.024925852220150254	0.9999455679334293	1	-1	0.008422987777361491	0.8927414316991722	0.8914494758776569
CEP85L:chr1:1095000_chr1:1307786-1308731_distal_250kb		2.979017211469808	-0.13599066013000163	-0.26251983378392313	0.8714449842953518	0.024925852220150254	0.9999455679334293	1	-1	0.008422987777361491	0.893426042002105	0.7929206962655738
CHD1:chr1:1100000_chr1:1307786-1308731_distal_250kb		2.979017211469808	0.028322069746903246	0.07840110007587325	0.8714449842953518	0.024925852220150254	0.9999455679334293	1	1	0.008422987777361491	0.9777351095728974	0.9375089984923455
TNRC6A:chr1:1105000_chr1:1307786-1308731_distal_250kb		2.979017211469808	0.06467211441701995	0.10459163772838048	0.8714449842953518	0.024925852220150254	0.9999455679334293	1	1	0.008422987777361491	0.9491894754841245	0.9166998504363116
