event_id	tf_name	peak_id	gene	context	atac_coef	atac_se	atac_pval	atac_fdr	atac_direction	rna_coef	rna_se	rna_pval	rna_fdr	rna_direction	rna_after_atac_coef	rna_after_atac_se	rna_after_atac_pval	rna_after_atac_fdr	state	state_confidence	quality_score	artifact_risk	artifact_reason	event_pval	event_fdr
BCL11B:chr1:1060000_chr1:1307786-1308731_distal_250kb		chr1:1307786-1308731	BCL11B:chr1:1060000		1.4929075886611107	0.5011409745848798	0.008422987777361491	0.024925852220150254	1	-0.005227032830850131	0.5030459811610195	0.9918304842286767	0.9999455679334293	-1	-0.504033964959608	1.0777263417755967	0.6400115147634071	0.9998219912180941	chromatin_primed	1.0	0.8714449842953518	low		0.008422987777361491	0.025350739912447205
ATF7IP:chr1:1065000_chr1:1307786-1308731_distal_250kb		chr1:1307786-1308731	ATF7IP:chr1:1065000		1.4929075886611107	0.5011409745848798	0.008422987777361491	0.024925852220150254	1	0.033770268527222924	0.5036711538675649	0.9473255409436516	0.9999455679334293	1	-0.2209183032853792	1.0832558604925808	0.8384010334485191	0.9998219912180941	chromatin_primed	1.0	0.8714449842953518	low		0.008422987777361491	0.025350739912447205
QKI:chr1:1070000_chr1:1307786-1308731_distal_250kb		chr1:1307786-1308731	QKI:chr1:1070000		1.4929075886611107	0.5011409745848798	0.008422987777361491	0.024925852220150254	1	0.021097745049700745	0.5031619794474733	0.9670427820007732	0.9999455679334293	1	0.35595465965072814	1.0793156463296543	0.741553636172302	0.9998219912180941	chromatin_primed	1.0	0.8714449842953518	low		0.008422987777361491	0.025350739912447205
FLNA:chr1:1075000_chr1:1307786-1308731_distal_250kb		chr1:1307786-1308731	FLNA:chr1:1075000		1.4929075886611107	0.5011409745848798	0.008422987777361491	0.024925852220150254	1	0.11119252237272703	0.5034536719598965	0.8278326785932364	0.9999455679334293	1	0.43806704567770804	1.0819317312058256	0.6855558506399455	0.9998219912180941	chromatin_primed	1.0	0.8714449842953518	low		0.008422987777361491	0.025350739912447205
PKN2:chr1:1080000_chr1:1307786-1308731_distal_250kb		chr1:1307786-1308731	PKN2:chr1:1080000		1.4929075886611107	0.5011409745848798	0.008422987777361491	0.024925852220150254	1	-0.02199729320092353	0.5035495647320525	0.9656649381324431	0.9999455679334293	-1	0.118116609625879	1.0828553565157444	0.9131399554399753	0.9998219912180941	chromatin_primed	1.0	0.8714449842953518	low		0.008422987777361491	0.025350739912447205
CAP1:chr1:1085000_chr1:1307786-1308731_distal_250kb		chr1:1307786-1308731	CAP1:chr1:1085000		1.4929075886611107	0.5011409745848798	0.008422987777361491	0.024925852220150254	1	-0.034124903756380554	0.5035939598471838	0.946765130269686	0.9999455679334293	-1	0.09173239645966458	1.0832953688322762	0.9325165710720754	0.9998219912180941	chromatin_primed	1.0	0.8714449842953518	low		0.008422987777361491	0.025350739912447205
SEPTIN9:chr1:1090000_chr1:1307786-1308731_distal_250kb		chr1:1307786-1308731	SEPTIN9:chr1:1090000		1.4929075886611107	0.5011409745848798	0.008422987777361491	0.024925852220150254	1	-0.06893907251957404	0.5036828050234416	0.8927414316991722	0.9999455679334293	-1	-0.1479207752248417	1.0839042587790448	0.8914494758776569	0.9998219912180941	chromatin_primed	1.0	0.8714449842953518	low		0.008422987777361491	0.025350739912447205
CEP85L:chr1:1095000_chr1:1307786-1308731_distal_250kb		chr1:1307786-1308731	CEP85L:chr1:1095000		1.4929075886611107	0.5011409745848798	0.008422987777361491	0.024925852220150254	1	-0.0684758319558127	0.5035333447925948	0.893426042002105	0.9999455679334293	-1	-0.28414134387919865	1.0823614345004955	0.7929206962655738	0.9998219912180941	chromatin_primed	1.0	0.8714449842953518	low		0.008422987777361491	0.025350739912447205
CHD1:chr1:1100000_chr1:1307786-1308731_distal_250kb		chr1:1307786-1308731	CHD1:chr1:1100000		1.4929075886611107	0.5011409745848798	0.008422987777361491	0.024925852220150254	1	0.014259651142999652	0.5034819584313329	0.9777351095728974	0.9999455679334293	1	0.0848281026444162	1.0819759233266264	0.9375089984923455	0.9998219912180941	chromatin_primed	1.0	0.8714449842953518	low		0.008422987777361491	0.025350739912447205
TNRC6A:chr1:1105000_chr1:1307786-1308731_distal_250kb		chr1:1307786-1308731	TNRC6A:chr1:1105000		1.4929075886611107	0.5011409745848798	0.008422987777361491	0.024925852220150254	1	0.03257210027658647	0.5036498430614845	0.9491894754841245	0.9999455679334293	1	0.11332431966617218	1.083493117876881	0.9166998504363116	0.9998219912180941	chromatin_primed	1.0	0.8714449842953518	low		0.008422987777361491	0.025350739912447205
