event_id	peak_id	gene	atac_coef	atac_se	atac_z	atac_fdr	rna_coef	rna_se	rna_z	rna_fdr
BCL11B:chr1:1060000_chr1:1307786-1308731_distal_250kb	chr1:1307786-1308731	BCL11B:chr1:1060000	1.4929075886611107	0.5011409745848798	2.979017211469808	0.024925852220150254	-0.005227032830850131	0.5030459811610195	-0.010390765509717919	0.9999455679334293
ATF7IP:chr1:1065000_chr1:1307786-1308731_distal_250kb	chr1:1307786-1308731	ATF7IP:chr1:1065000	1.4929075886611107	0.5011409745848798	2.979017211469808	0.024925852220150254	0.033770268527222924	0.5036711538675649	0.06704824818318356	0.9999455679334293
QKI:chr1:1070000_chr1:1307786-1308731_distal_250kb	chr1:1307786-1308731	QKI:chr1:1070000	1.4929075886611107	0.5011409745848798	2.979017211469808	0.024925852220150254	0.021097745049700745	0.5031619794474733	0.041930324451120826	0.9999455679334293
FLNA:chr1:1075000_chr1:1307786-1308731_distal_250kb	chr1:1307786-1308731	FLNA:chr1:1075000	1.4929075886611107	0.5011409745848798	2.979017211469808	0.024925852220150254	0.11119252237272703	0.5034536719598965	0.22085949227436413	0.9999455679334293
PKN2:chr1:1080000_chr1:1307786-1308731_distal_250kb	chr1:1307786-1308731	PKN2:chr1:1080000	1.4929075886611107	0.5011409745848798	2.979017211469808	0.024925852220150254	-0.02199729320092353	0.5035495647320525	-0.043684464731150494	0.9999455679334293
CAP1:chr1:1085000_chr1:1307786-1308731_distal_250kb	chr1:1307786-1308731	CAP1:chr1:1085000	1.4929075886611107	0.5011409745848798	2.979017211469808	0.024925852220150254	-0.034124903756380554	0.5035939598471838	-0.0677627344194831	0.9999455679334293
SEPTIN9:chr1:1090000_chr1:1307786-1308731_distal_250kb	chr1:1307786-1308731	SEPTIN9:chr1:1090000	1.4929075886611107	0.5011409745848798	2.979017211469808	0.024925852220150254	-0.06893907251957404	0.5036828050234416	-0.13687001388972486	0.9999455679334293
CEP85L:chr1:1095000_chr1:1307786-1308731_distal_250kb	chr1:1307786-1308731	CEP85L:chr1:1095000	1.4929075886611107	0.5011409745848798	2.979017211469808	0.024925852220150254	-0.0684758319558127	0.5035333447925948	-0.13599066013000163	0.9999455679334293
CHD1:chr1:1100000_chr1:1307786-1308731_distal_250kb	chr1:1307786-1308731	CHD1:chr1:1100000	1.4929075886611107	0.5011409745848798	2.979017211469808	0.024925852220150254	0.014259651142999652	0.5034819584313329	0.028322069746903246	0.9999455679334293
TNRC6A:chr1:1105000_chr1:1307786-1308731_distal_250kb	chr1:1307786-1308731	TNRC6A:chr1:1105000	1.4929075886611107	0.5011409745848798	2.979017211469808	0.024925852220150254	0.03257210027658647	0.5036498430614845	0.06467211441701995	0.9999455679334293
FOXO1:chr1:1110000_chr1:1307786-1308731_distal_250kb	chr1:1307786-1308731	FOXO1:chr1:1110000	1.4929075886611107	0.5011409745848798	2.979017211469808	0.024925852220150254	-0.13109296825511502	0.5034925121649062	-0.2603672648307009	0.9999455679334293
DDX21:chr1:1115000_chr1:1307786-1308731_distal_250kb	chr1:1307786-1308731	DDX21:chr1:1115000	1.4929075886611107	0.5011409745848798	2.979017211469808	0.024925852220150254	-0.03461797587992094	0.5035740533149756	-0.06874455832669377	0.9999455679334293
TAPBP:chr1:1120000_chr1:1307786-1308731_distal_250kb	chr1:1307786-1308731	TAPBP:chr1:1120000	1.4929075886611107	0.5011409745848798	2.979017211469808	0.024925852220150254	0.025281815106961203	0.5036694863953107	0.050195248649862585	0.9999455679334293
ATG7:chr1:1125000_chr1:1307786-1308731_distal_250kb	chr1:1307786-1308731	ATG7:chr1:1125000	1.4929075886611107	0.5011409745848798	2.979017211469808	0.024925852220150254	-0.06350516940362261	0.503177899573995	-0.12620818493297883	0.9999455679334293
MCL1:chr1:1130000_chr1:1307786-1308731_distal_250kb	chr1:1307786-1308731	MCL1:chr1:1130000	1.4929075886611107	0.5011409745848798	2.979017211469808	0.024925852220150254	0.16343604790964028	0.5034871991500832	0.32460814929462	0.9999455679334293
EIF3A:chr1:1135000_chr1:1307786-1308731_distal_250kb	chr1:1307786-1308731	EIF3A:chr1:1135000	1.4929075886611107	0.5011409745848798	2.979017211469808	0.024925852220150254	0.02776925170174782	0.503637665109838	0.055137360895539146	0.9999455679334293
MEF2A:chr1:1140000_chr1:1307786-1308731_distal_250kb	chr1:1307786-1308731	MEF2A:chr1:1140000	1.4929075886611107	0.5011409745848798	2.979017211469808	0.024925852220150254	0.008950032972389277	0.5033547378890533	0.017780766323812758	0.9999455679334293
ACTR3:chr1:1145000_chr1:1307786-1308731_distal_250kb	chr1:1307786-1308731	ACTR3:chr1:1145000	1.4929075886611107	0.5011409745848798	2.979017211469808	0.024925852220150254	0.048857070216991205	0.5035483204255329	0.09702558470595955	0.9999455679334293
PUM1:chr1:1150000_chr1:1307786-1308731_distal_250kb	chr1:1307786-1308731	PUM1:chr1:1150000	1.4929075886611107	0.5011409745848798	2.979017211469808	0.024925852220150254	0.08686312959973541	0.5037253018404207	0.17244146617684392	0.9999455679334293
PIK3CD:chr1:1155000_chr1:1307786-1308731_distal_250kb	chr1:1307786-1308731	PIK3CD:chr1:1155000	1.4929075886611107	0.5011409745848798	2.979017211469808	0.024925852220150254	-0.08945514088458506	0.5035775616214806	-0.17763925103522576	0.9999455679334293
TPM3:chr1:1160000_chr1:1307786-1308731_distal_250kb	chr1:1307786-1308731	TPM3:chr1:1160000	1.4929075886611107	0.5011409745848798	2.979017211469808	0.024925852220150254	0.016295342148491654	0.5034948842679466	0.03236446418355207	0.9999455679334293
ZNF638:chr1:1165000_chr1:1307786-1308731_distal_250kb	chr1:1307786-1308731	ZNF638:chr1:1165000	1.4929075886611107	0.5011409745848798	2.979017211469808	0.024925852220150254	-0.04910780738540188	0.5036531351548623	-0.09750322981768456	0.9999455679334293
ITFG1:chr1:1170000_chr1:1307786-1308731_distal_250kb	chr1:1307786-1308731	ITFG1:chr1:1170000	1.4929075886611107	0.5011409745848798	2.979017211469808	0.024925852220150254	0.13542002814246767	0.5034027056422655	0.26900933710654623	0.9999455679334293
RAP1A:chr1:1175000_chr1:1307786-1308731_distal_250kb	chr1:1307786-1308731	RAP1A:chr1:1175000	1.4929075886611107	0.5011409745848798	2.979017211469808	0.024925852220150254	-0.030859996903728926	0.5034978123024691	-0.061291223416856125	0.9999455679334293
WASF2:chr1:1180000_chr1:1307786-1308731_distal_250kb	chr1:1307786-1308731	WASF2:chr1:1180000	1.4929075886611107	0.5011409745848798	2.979017211469808	0.024925852220150254	0.02378704214133548	0.503561046055551	0.047237653364298124	0.9999455679334293
ADK:chr1:1185000_chr1:1307786-1308731_distal_250kb	chr1:1307786-1308731	ADK:chr1:1185000	1.4929075886611107	0.5011409745848798	2.979017211469808	0.024925852220150254	-0.03503949784476201	0.5033376455798672	-0.06961429996835418	0.9999455679334293
RBM6:chr1:1190000_chr1:1307786-1308731_distal_250kb	chr1:1307786-1308731	RBM6:chr1:1190000	1.4929075886611107	0.5011409745848798	2.979017211469808	0.024925852220150254	0.01222753111433561	0.5035160115116332	0.02428429451056912	0.9999455679334293
BAZ1A:chr1:1195000_chr1:1307786-1308731_distal_250kb	chr1:1307786-1308731	BAZ1A:chr1:1195000	1.4929075886611107	0.5011409745848798	2.979017211469808	0.024925852220150254	0.09057861156367775	0.503465598825828	0.17991022976529739	0.9999455679334293
